"Site name","Type of site","Registration"
"16WMPO.com","Imposter site","Scottsdale, Ariz. **"
"24wpn.com","Fake news","Veles, Macedonia"
"ABCNews.com.co","Imposter site","Phoenix, Ariz."
"actualidadpanamericana.com","Parody site","Scottsdale, Ariz. **"
"AmericanPoliticNews.co","Fake news","Came up as available for use"
"AmericanPresident.co","Fake news","Tblisi, Georgia"
"AMPosts.com","Fake news","Chesterbrook, Pa.^"
"ANews24.org/","Fake news","Panama, Pa. *"
"AngryPatriotMovement.com","Fake news","Scottsdale, Ariz. **"
"Anonjekloy.tk","Fake news","Amsterdam, Netherlands"
"AssociatedMediaCoverage.com","Parody site","Scottsdale, Ariz. **"
"Aurora-News.us","Imposter site","Santiago, Chile"
"BB4SP.com","Fake news","Midwest City, Okla."
"BeforeItsNews.com","Fake news","Scottsdale, Ariz. **"
"BlackInsuranceNews.com","Some fake stories","Ridgefield Park, N.J."
"BostonTribune.com","Parody site","Scottsdale, Ariz. **"
"BuzzFeedUSA.com","Fake news","Scottsdale, Ariz. **"
"CannaSOS.com","Some fake stories","Scottsdale, Ariz. **"
"Channel18News.com","Imposter site","Scottsdale, Ariz. **"
"ChristianTimesNewspaper.com","Imposter site","Scottsdale, Ariz. **"
"ChristianToday.info","Fake news","Scottsdale, Ariz. **"
"CivicTribune.com","Fake news","Scottsdale, Ariz. **"
"CivicTribune.com","Imposter site","Scottsdale, Ariz. **"
"ClashDaily.com","Fake news","Scottsdale, Ariz. **"
"CNNews3.com","Imposter site","Scottsdale, Ariz. **"
"Coed.com","Some fake stories","New York, N.Y."
"ConservativeDailyPost.com","Fake news","Panama, Pa. *"
"ConservativeFlashNews.com","Fake news","Panama, Pa.*"
"ConservativeSpirit.com","Fake news","Chesterbrook, Pa.^"
"DailyInfoBox.com","Fake news","Panama, Pa.*"
"DailyNews10.com","Imposter site","Scottsdale, Ariz. **"
"DailyNews5.com","Imposter site","Scottsdale, Ariz. **"
"DailyNewsPosts.info","Fake news","Chesterbrook, Pa ^"
"DailySnark.com","Parody site","Scottsdale, Ariz. **"
"DailySurge.com","Fake news","Alexandria, Va."
"DailyUSAUpdate.com","Fake news","Scottsdale, Ariz. **"
"DamnLeaks.com","Fake news","Colorado Springs, Colo. "
"DepartedMedia.com","Fake news","Chesterbrook, Pa.^"
"Disclose.tv","Fake news","Passau, Germany"
"DIYHours.net","Fake news","Panama, Pa.*"
"DonaldTrumpPOTUS45.com","Fake news","Free Union, Va."
"EmpireHerald.com","Imposter site","Scottsdale, Ariz. **"
"EmpireNews.net","Parody site","Chesterbrook, Pa ^"
"EmpireSports.co","Parody site","Sellersburg, IN"
"En-Volve.com","Fake news","Chesterbrook, Pa. ^"
"ENHLive.com","Fake news","Brea, Calif. !!"
"FedsAlert.com","Fake news","Scottsdale, Ariz. **"
"FlashNewsCorner.com","Fake news","Panama, Pa.*"
"FreedomDaily.com","Fake news","Scottsdale, Ariz. **"
"FreeWoodPost.com","Parody site","Scottsdale, Ariz. **"
"FreshDailyReport.com","Fake news","Veles, Macedonia"
"GiveMeLiberty01.com","Fake news","Scottsdale, Ariz. **"
"GlobalPoliticsNow.com","Fake news","Kumanovo, Macedonia"
"GummyPost.com","Fake news","Scottsdale, Ariz. **"
"HealthyCareAndBeauty.com","Some fake stories","Berlin, Germany"
"HealthyWorldHouse.com","Fake news","Kumanovo, Macedonia"
"InterestingDailyNews.com","Fake news","Orem, Utah~"
"JewsNews.co.il","Some fake stories","Shiloh, Israel"
"KMT11.com","Imposter site","Scottsdale, Ariz. **"
"Konkonsagh.biz","Fake news","Ashanti, Ghana"
"KY12News.com","Imposter site","Scottsdale, Ariz. **"
"LadyLibertysNews.com","Fake news","Kirkland, Wash.***"
"LastDeplorables.com","Fake news","Scottsdale, Ariz. **"
"LearnProgress.org","Some fake stories","Scottsdale, Ariz. **"
"LiberalPlug.com","Fake news","Scottsdale, Ariz. **"
"LibertyAlliance.com","Fake news","Dallas, Ga. "
"Local31News.com","Imposter site","Scottsdale, Ariz. **"
"MadWorldNews.com","Fake news","Scottsdale, Ariz. **"
"MajorThoughts.com","Fake news","Sunrise, Fla. "
"Mentor2day.com","Some fake stories","Scottsdale, Ariz. **"
"MetropolitanWorlds.com","Fake news","Accra, Ghana"
"NationalReport.net","Parody site","Scottsdale, Ariz. **"
"NBC.com.co","Imposter site","Phoenix, Ariz."
"NeonNettle.com","Fake news","Toronto, Canada !!!"
"Nephef.com","Fake news","Panama, Pa.*"
"NewPoliticsToday.com","Fake news","Kumanovo, Macedonia"
"News4KTLA.com","Imposter site","Scottsdale, Ariz. **"
"NewsBreaksHere.com","Fake news","Chesterbrook, Pa.^"
"NewsBySquad.com","Fake news","Panama, Pa. *"
"NewsDaily12.com","Imposter site","Scottsdale, Ariz. **"
"NewsExaminer.net","Fake news","Nobby Beach, Australia !!"
"NewsLeak.co","Fake news","Tblisi, Georgia"
"Newslo.com","Parody site","Thessaloniki, Greece"
"NewzMagazine.com","Fake news","Scottsdale, Ariz. **"
"NotAllowedTo.com","Fake news","https://www.whois.com/whois/notallowedto.com"
"OccupyDemocrats.com","Fake news","Langhorne, Pa. "
"OnePoliticalPlaza.com","Fake news","Miami, Fla.^^^"
"OpenMagazines.com","Fake news","Scottsdale, Ariz. **"
"Politicalo.com","Parody site","Jerusalem, Israel"
"Politicono.com","Parody site","Jerusalem, Israel"
"Politicops.com","Parody site","Jerusalem, Israel"
"Politicot.com","Parody site","Jerusalem, Israel"
"PoliticsUSANews.com","Fake news","Panama, Pa.*"
"President45DonaldTrump.com","Fake news","Burlington, Mass. ~"
"Prntly.com","Fake news","Nobby Beach, Australia !!"
"RedCountry.us","Fake news","Veles, Macedonia"
"RedRockTribune.com","Imposter site","Scottsdale, Ariz. **"
"Religionlo.com","Parody site","Jerusalem, Israel"
"ReligionMind.com","Fake news","Balangoda, Sri Lanka"
"Rogue-Nation3.com","Fake news","Quebec, Canada"
"RumorJournal.com","Fake news","Panama, Pa. *"
"SatiraTribune.com","Parody site","Scottsdale, Ariz. **"
"Smag31.com","Some fake stories","Dundalk, Ireland"
"SocialEverythings.com","Fake news","Mahawela, Sri Lanka"
"Success-Street.com","Fake news","Kumanovo, Macedonia"
"SupremePatriot.com","Fake news","Panama, Pa. *"
"TDTAlliance.com","Fake news","Scottsdale, Ariz. **"
"TeaParty.org","Some fake stories","Laguna Woods, Calif."
"ThatViralFeed.net","Some fake stories","Denver, Colo."
"The-Insider.co","Fake news","Scottsdale, Ariz. **"
"TheBigRiddle.com","Some fake stories","Scottsdale, Ariz. **"
"TheInternetPost.net","Fake news","Scottsdale, Ariz. **"
"TheLastLineOfDefense.org","Parody site","Scottsdale, Ariz. **"
"TheMoralOfTheStory.us","Fake news","Paradise, Calif."
"TheNationalMarijuanaNews.com","Some fake stories","Henderson, Nev."
"TheNet24h.com","Fake news","Brisbane, Australia"
"TheNewYorkEvening.com","Imposter site","Kumanovo, Macedonia"
"ThePoliticalInsider.com","Some fake stories","Scottsdale, Ariz. **"
"TheRightists.com","Parody site","Jerusalem, Israel"
"TheSeattleTribune.com","Parody site","Scottsdale, Ariz. **"
"TheTrumpMedia.com","Fake news","Scottsdale, Ariz. **"
"TheUSA-News.com","Fake news","Chesterbrook, Pa.^"
"TheWashingtonPress.com","Imposter site","Laurium, Mich. "
"Times.com.mx","Imposter site","Chesterbrook, Pa ^"
"TMZWorldNews.com","Fake news","Scottsdale, Ariz.**"
"TrueAmericans.me","Fake news","Chesterbrook, Pa. ^"
"TrueTrumpers.com","Fake news","Chesterbrook, Pa.^"
"UndergroundNewsReport.com","Fake news","Scottsdale, Ariz. **"
"UniversePolitics.com","Fake news","Veles, Macedonia"
"UrbanImageMagazine.com","Some fake stories","Marion, Indiana"
"USA-Radio.com","Fake news","Scottsdale, Ariz. **"
"USA-Television.com","Imposter site","Scottsdale, Ariz. **"
"USADailyInfo.com","Fake news","Panama *"
"USADailyPost.us","Fake news","Veles, Macedonia"
"USADailyTime.com","Fake news","Panama, Pa.*"
"USADoseNews.com","Fake news","Nobby Beach, Australia!!"
"USAFirstInformation.com","Fake news","Panama, Pa. *"
"USANewsToday.com","Fake news","Scotts, Mich."
"USAPolitics24hrs.com","Fake news","Nobby Beach, Australia !!"
"USAPoliticsToday.com","Fake news","Brea, Calif.^^"
"USAPoliticsZone.com","Fake news","Veles, Macedonia"
"USASnich.com","Fake news","Scottsdale, Ariz. **"
"USATodayNews.me","Imposter site","Chesterbrook, Pa ^"
"USHealthyAdvisor.com","Fake news","Panama, Pa.*"
"USHealthyLife.com","Fake news","Panama, Pa.*"
"USHerald.com","Fake news","Austin, Texas"
"USInfoNews.com","Fake news","Veles, Macedonia"
"USPOLN.com","Fake news","Scottsdale, Ariz. **"
"USPostman.com","Fake news","Veles, Macedonia"
"ViralActions.com","Fake news","Scottsdale, Ariz. **"
"VoxTribune.com","Fake news","Scottsdale, Ariz. **"
"WashingtonFeed.com","Fake news","Vancouver, Canada "
"WashingtonPost.com.co","Imposter site","Washington, DC"
"WorldNewsDailyReport.com","Parody site","Nobby Beach, Australia !!"
"WorldPoliticsNow.com","Fake news","Nassau, Bahamas!"

"Private registration service notation"
"Many sites use a registration service to hide their personal information from the public.We've noted those where appropriate:"
"* WhoisGuard Inc., Whoisguard Protected"
"** Domains by Proxy, LLC"
"*** Whois Privacy Protection Service, Inc., Whois agent"
"^ 1&1 Internet Inc., Oneandone Private Registration"
"^^ Proxy Protection LLC"
"^^^ IDF Hostmaster Technologies, Inc."
"~ Domain Privacy Service FBO registrant"
"! Domain Admin (Whois Privacy Corp.)"
"!! Privacy Protection Service, Inc"
"!!! Contact Privacy Inc."